Name,Gender,Gender,Grade,Math,Science,English,Total,Attendance
Shaurya,  Male  ,Male,Grade 10,61,25,60,146,74
"""Isha""",Maleale,0,8,24 marks,83,58 marks,165,70
Navya,0,1,Grade 4,58,38 marks,59,155,71
Aryan,1,  F  ,Grade 12,57 marks,94,100,251,91
'Ishaan',  F  ,M,1,38 marks,15,73,126,80
"""Ishaan""",Male,F,Grade 2,8 marks,2 marks,3,13,86
SHAURYA,F,female,Grade 8,91,18,88,197,88
ANIKA,feMale,F,3,30,35,93,158,76
Navya,F,F,8,54,65,37 marks,156,83
'Vihaan',F,  F  ,Grade 8,12,22,2,36,95
"""Reyansh""",  F  ,1,Grade 8,71,1,19,91,86
'Vihaan',1,Male,10,86,14,83,183,72
NAVYA,Maleale,m,2,91,62,34,187,92
'Krishna',Male,M,1,51,91 marks,65,207,80
Aryan,Male,1,8,53,74,24 marks,151,72
'Aditi',1,M,Grade 4,34,66 marks,64,164,87
'Vihaan',Male,  F  ,Grade 2,78 marks,91,66 marks,235,82
'Isha',  F  ,0,Grade 8,23,84,26 marks,133,70
"""Kabir""",0,female,Grade 6,92,63,92 marks,247,75
"""Ananya""",feMale,m,5,62,94 marks,6 marks,162,87
'Diya',Male,  M  ,Grade 8,90 marks,16,17,123,70
'Reyansh',  Male  ,female,10,11 marks,45,76 marks,132,83
'Ananya',feMale,female,5,59,75,31,165,80
Kabir,feMale,m,Grade 5,68,11,66,145,82
"""Anika""",Male,Female,9,100 marks,29 marks,64,193,79
'Rohan',FeMale,female,6,36,89,22,147,85
Ishaan,feMale,f,2,66,7 marks,34,107,84
ADVIKA,f,f,11,11 marks,65 marks,2 marks,78,70
"""Saanvi""",f,  F  ,9,22,76,0,98,80
ISHAAN,  F  ,  M  ,11,85,13,78,176,77
"""Ananya""",  Male  ,  F  ,4,23 marks,48,78 marks,149,88
SHAURYA,  F  ,  F  ,7,56,4,84 marks,144,74
'Ishaan',  F  ,female,5,50 marks,96 marks,81,227,80
